Name,Category,Author,Price,Series,Pages,Publisher,Date,Language,ISBN_10,ISBN_13,Dimensions,Weight
Maz'Hura: Book One of the Twelve Dimensions (Volume 1),Science Fiction : Space Opera,Paul L. Centeno,$13.99,Twelve Dimensions,322 pages,Rebel ePublishers,"November 28, 2017",English,1944077286,978-1944077280,5.5 x 0.7 x 8.5 inches,1.1 pounds
The Stars Are Legion,Science Fiction : Space Opera,Kameron Hurley,$11.59,,400 pages,Saga Press; Reprint edition,"November 7, 2017",English,1481447947,978-1481447942,5.5 x 1 x 8.2 inches,12 ounces
None but Man,Science Fiction : Space Opera,Gordon R. Dickson,$12.94,,288 pages,Baen; Reissue edition,"November 7, 2017",English,1481482858,978-1481482851,6.1 x 0.9 x 9.2 inches,11.5 ounces
The Amaranth Chronicles: Deviant Rising,Science Fiction : Space Opera,Alexander Barnes and Christopher Preiman,$16.99,The Amaranth Chronicles,406 pages,Quill,"November 14, 2017",English,1947848011,978-1947848016,5.5 x 0.9 x 8.2 inches,1 pounds
51-60: STAR GATE - das Original: Die 6. Kompilation: Die Bnde 51 bis 60 der laufenden Serie STAR GATE  das Original  zusammengefasst! (STAR GATE ... Kompilation) (Volume 6) (German Edition),Science Fiction : Space Opera,Wilfried A. Hary Hrsg.,$23.00,STAR GATE - das Original Kompilation (Book 6),380 pages,CreateSpace Independent Publishing Platform; Original edition,"November 7, 2017",German,1979517134,978-1979517133,6 x 0.9 x 9 inches,1.4 pounds
Kathya Unbound (Rogue Element) (Volume 2),Science Fiction : Space Opera,Cianien Bloodstone,$19.00,Rogue Element (Book 2),514 pages,CreateSpace Independent Publishing Platform,"November 20, 2017",English,1979591563,978-1979591560,5 x 1.2 x 8 inches,1.4 pounds
Beyond the Empire (The Indranan War),Science Fiction : Space Opera,K. B. Wagers,$10.99,The Indranan War (Book 3),416 pages,Orbit,"November 14, 2017",English,0316308641,978-0316308649,5.5 x 1.2 x 8.2 inches,12.6 ounces
Tyche's Flight (Tyche's Journey) (Volume 1),Science Fiction : Space Opera,Richard Parry,$14.99,Tyche's Journey,352 pages,Mondegreen,"November 7, 2017",English,0995104107,978-0995104105,6 x 0.8 x 9 inches,1.3 pounds
Cult of the Warmason (Genestealer Cults),Science Fiction : Space Opera,C L Werner,$11.00,Genestealer Cults (Book 1),320 pages,Games Workshop,"November 7, 2017",English,1784966142,978-1784966140,5.1 x 0.7 x 7.8 inches,8.5 ounces
Wrath of Angels (Sins of Angels),Science Fiction : Space Opera,Matt Larkin and J.S. Morin,$16.99,Sins of Angels (Book 4),226 pages,Magical Scrivener Press,"November 10, 2017",English,1942642547,978-1942642541,5.5 x 0.6 x 8.5 inches,12.5 ounces
Fall of Angels (Sins of Angels),Science Fiction : Space Opera,Matt Larkin and J.S. Morin,$16.99,Sins of Angels (Book 5),226 pages,Magical Scrivener Press,"November 10, 2017",English,1942642571,978-1942642572,5.5 x 0.5 x 8.5 inches,12 ounces
Echoes of Angels (Sins of Angels),Science Fiction : Space Opera,Matt Larkin and J.S. Morin,$16.99,Sins of Angels (Book 1),226 pages,Magical Scrivener Press,"November 10, 2017",English,1942642458,978-1942642459,5.5 x 0.6 x 8.5 inches,12.2 ounces
Places in the Darkness,Science Fiction : Space Opera,Chris Brookmyre,$9.77,,448 pages,Orbit,"November 7, 2017",English,0316435260,978-0316435260,6 x 1.2 x 9.2 inches,15.5 ounces
The Galaxy Chronicles: The First Chronicle - Prelude,Science Fiction : Space Opera,Alan Carey,$9.99,The Galaxy Chronicles,208 pages,CreateSpace Independent Publishing Platform; 1 edition,"November 19, 2017",English,1978048092,978-1978048096,6 x 0.5 x 9 inches,13.1 ounces
Neutral Space,Science Fiction : Space Opera,Rebecca Tran,$9.99,,168 pages,CreateSpace Independent Publishing Platform,"November 13, 2017",English,197805808X,978-1978058088,6 x 0.4 x 9 inches,11 ounces
Destroyer: Book Three of the Expansion Wars Trilogy (Volume 3),Science Fiction : Space Opera,Joshua Dalzelle,$15.99,The Expansion Wars (Book 3),336 pages,CreateSpace Independent Publishing Platform,"November 4, 2017",English,1979372225,978-1979372220,5 x 0.8 x 8 inches,1.2 pounds
Starfire: Shadow Sun Seven (The Starfire Trilogy),Science Fiction : Space Opera,Spencer Ellsworth,$13.18,The Starfire Trilogy (Book 2),336 pages,Tor.com,"November 28, 2017",English,0765395754,978-0765395757,5 x 0.8 x 8 inches,7 ounces
Die Bar Am Andromeda-Highway (German Edition),Science Fiction : Space Opera,Wolfgang Bolz,$20.90,,254.0 pages,Books on Demand,"November 10, 2017",German,3744890015,978-3744890014,5 x 0.6 x 8 inches,9.8 ounces
Transport 3 (German Edition),Science Fiction : Space Opera,Phillip P Peterson,$24.06,,328.0 pages,Books on Demand,"November 17, 2017",German,3743118637,978-3743118638,5 x 0.7 x 8 inches,12.6 ounces
Bound by Honor (Bonds of Honor),Science Fiction : Space Opera,Rose Sartin,$11.99,Bonds of Honor (Book 1),300 pages,Lagan Press,"November 16, 2017",English,1633732010,978-1633732018,6 x 0.7 x 9 inches,15.7 ounces
Voices of Angels (Sins of Angels),Science Fiction : Space Opera,Matt Larkin and J.S. Morin,$16.99,Sins of Angels (Book 3),231 pages,Magical Scrivener Press,"November 10, 2017",English,1942642512,978-1942642510,5.5 x 0.6 x 8.5 inches,12.8 ounces
Dreaming the Perpetual Dream,Science Fiction : Space Opera,J.K. Norry,$14.99,,230 pages,Sudden Insight Publishing,"November 14, 2017",English,1944916709,978-1944916701,5 x 0.5 x 8 inches,9 ounces
The Neon Lites: Adventures Beyond Possibility,Science Fiction : Space Opera,Leisa Anne Clark and Sadie Blackburn,$15.99,,414 pages,CreateSpace Independent Publishing Platform; 1 edition,"November 29, 2017",English,1976357160,978-1976357169,5 x 1 x 8 inches,1.2 pounds
